เกาหลี,ท่องเที่ยว,"501,818","1,014,453","1,163,731","984,229","1,230,410","1,349,184","1,574,929","1,642,063","1,708,141","238,900",
เกาหลี,ธุรกิจ, - , - , - , - , - ,"44,732","47,794","49,018","46,837","6,026",
เกาหลี,ประชุมของหน่วยงาน,"63,835","20,796","19,307","15,274","20,510","11,901","15,537","14,651","18,000","1,748",
เกาหลี,ประชุมเชิงธุรกิจ,"194,013","1,794","2,456","3,256","2,199",898,"2,400","3,986","5,305",193,
เกาหลี,ประชุมของสมาคม,"142,852","4,446","2,112","2,993","2,760","2,181","2,789","4,425","4,524",224,
เกาหลี,งานแสดงสินค้า/นิทรรศการ,"4,402","1,722","2,185","1,768","3,449","2,212","4,694","4,701","5,193",562,
เกาหลี,การศึกษา, - , - , - , - , - ,"6,246","8,042","8,690","10,920","1,735",
เกาหลี,การจ้างแรงงาน, - , - , - , - , - ,"2,438","3,027", - , - , - ,
เกาหลี,การขนส่ง, - , - , - , - , - ,"11,870","16,979","16,805", - , - ,
เกาหลี,การกีฬา, - , - , - , - , - , - , - ,"11,505","35,079","9,466",
เกาหลี,ทางการแพทย์, - , - , - , - , - , - , - ,"3,377","2,535",209,
เกาหลี,อื่น ๆ,"94,185","110,246","102,544","101,909","99,883","17,955","22,417","25,926","43,931","3,250",
ไต้หวัน,รวม,"449,346","393,335","503,894","388,425","545,560","513,528","560,441","674,172","781,674","114,275",
ไต้หวัน,ท่องเที่ยว,"238,399","323,538","430,079","320,331","471,478","467,604","506,752","610,488","706,643","105,482",
ไต้หวัน,ธุรกิจ, - , - , - , - , - ,"22,866","25,514","26,932","28,259","3,750",
ไต้หวัน,ประชุมของหน่วยงาน,"35,305","13,151","14,884","13,379","16,114","7,086","8,268","7,391","11,201","1,053",
ไต้หวัน,ประชุมเชิงธุรกิจ,"105,567",236,721,930,347,404,944,"1,236","1,367",101,
ไต้หวัน,ประชุมของสมาคม,"36,447","1,327",828,"1,102","1,541",506,802,"1,067","1,090",136,
ไต้หวัน,งานแสดงสินค้า/นิทรรศการ,986,"1,041","1,227","1,193","1,675",779,"1,299","1,607","1,935",196,
ไต้หวัน,การศึกษา, - , - , - , - , - ,"1,889","2,876","4,728","4,302",610,
ไต้หวัน,การจ้างแรงงาน, - , - , - , - , - ,"4,255","4,655", - , - , - ,
ไต้หวัน,การขนส่ง, - , - , - , - , - ,"2,902","2,845","4,693", - , - ,
ไต้หวัน,การกีฬา, - , - , - , - , - , - , - ,"3,489","12,126","1,661",
ไต้หวัน,ทางการแพทย์, - , - , - , - , - , - , - ,857,581,74,
ไต้หวัน,อื่น ๆ,"32,642","54,042","56,155","51,490","54,405","5,237","6,486","11,684","14,170","1,212",
ยุโรป,รวม,"4,933,434","5,454,494","6,155,582","6,028,171","5,476,781","6,008,398","6,322,166","6,603,695","6,531,220","2,051,738",
ยุโรป,ท่องเที่ยว,"2,164,695","5,031,950","5,710,456","5,598,125","5,088,892","5,681,700","5,919,458","6,038,232","5,988,360","1,973,281",
ยุโรป,ธุรกิจ, - , - , - , - , - ,"97,681","110,729","146,880","116,352","18,958",
ยุโรป,ประชุมของหน่วยงาน,"970,469","46,674","46,549","40,377","40,760","21,977","26,969","40,399","45,209","5,182",
ยุโรป,ประชุมเชิงธุรกิจ,"533,008","4,894","14,289","16,998","5,194","2,130","6,661","12,655","12,450","1,051",
ยุโรป,ประชุมของสมาคม,"686,206","9,605","7,900","7,936","8,789","3,680","7,778","18,471","20,674","1,105",
ยุโรป,งานแสดงสินค้า/นิทรรศการ,"23,302","5,596","5,625","5,786","14,996","2,558","13,174","17,746","21,193","3,787",
ยุโรป,การศึกษา, - , - , - , - , - ,"16,931","24,336","48,665","35,496","6,386",
ยุโรป,การจ้างแรงงาน, - , - , - , - , - ,"27,928","31,153", - , - , - ,
ยุโรป,การขนส่ง, - , - , - , - , - ,"86,353","98,351","83,064", - , - ,
ยุโรป,การกีฬา, - , - , - , - , - , - , - ,"35,068","82,180","17,678",
ยุโรป,ทางการแพทย์, - , - , - , - , - , - , - ,"15,012","14,971","2,803",
ยุโรป,อื่น ๆ,"555,754","355,775","370,763","358,949","318,150","67,460","83,557","147,503","194,335","21,507",
ยุโรป,รวม,"86,987","92,550","104,359","98,355","94,878","97,989","104,220","114,768","110,690","34,599",
ออสเตรีย,ท่องเที่ยว,"33,273","84,091","93,678","89,105","87,942","92,028","96,958","104,586","100,462","33,058",
ออสเตรีย,ธุรกิจ, - , - , - , - , - ,"2,162","2,261","3,209","2,612",452,
ออสเตรีย,ประชุมของหน่วยงาน,"16,080",807,"1,000",922,626,436,553,804,"1,019",118,
ออสเตรีย,ประชุมเชิงธุรกิจ,"8,381",79,276,390,48,12,57,209,141,20,
ออสเตรีย,ประชุมของสมาคม,"18,812",54,217,69,170,54,127,263,388,17,
ออสเตรีย,งานแสดงสินค้า/นิทรรศการ,623,122,101,41,300,18,236,219,215,48,
ออสเตรีย,การศึกษา, - , - , - , - , - ,375,391,664,452,112,
ออสเตรีย,การจ้างแรงงาน, - , - , - , - , - ,333,422, - , - , - ,
ออสเตรีย,การขนส่ง, - , - , - , - , - ,"1,776","2,265","2,007", - , - ,
ออสเตรีย,การกีฬา, - , - , - , - , - , - , - ,304,"1,633",483,
ออสเตรีย,ทางการแพทย์, - , - , - , - , - , - , - ,228,156,42,
ออสเตรีย,อื่น ๆ,"9,818","7,397","9,087","7,828","5,792",795,950,"2,275","3,612",249,
เบลเยียม,รวม,"82,699","94,134","101,147","99,784","107,695","112,140","112,635","116,346","114,016","25,872",
เบลเยียม,ท่องเที่ยว,"33,323","82,821","88,938","89,263","97,684","103,018","102,615","104,719","102,449","24,350",
เบลเยียม,ธุรกิจ, - , - , - , - , - ,"2,786","2,903","3,559","2,937",444,
เบลเยียม,ประชุมของหน่วยงาน,"11,721","1,239","1,212",894,"1,141",607,613,958,983,114,
เบลเยียม,ประชุมเชิงธุรกิจ,"6,291",151,228,244,177,260,234,140,140,30,
เบลเยียม,ประชุมของสมาคม,"21,871",187,223,227,227,87,218,244,465,15,
เบลเยียม,งานแสดงสินค้า/นิทรรศการ,282,72,62,134,252,42,302,348,177,58,
เบลเยียม,การศึกษา, - , - , - , - , - ,314,305,710,468,84,
เบลเยียม,การจ้างแรงงาน, - , - , - , - , - ,759,781, - , - , - ,
เบลเยียม,การขนส่ง, - , - , - , - , - ,"2,260","2,418","1,753", - , - ,
เบลเยียม,การกีฬา, - , - , - , - , - , - , - ,455,"1,410",218,
เบลเยียม,ทางการแพทย์, - , - , - , - , - , - , - ,156,142,35,
เบลเยียม,อื่น ๆ,"9,211","9,664","10,484","9,022","8,214","2,007","2,246","3,304","4,845",524,
เดนมาร์ก,รวม,"159,620","162,022","159,629","158,275","159,420","163,406","157,923","170,044","159,526","62,962",
เดนมาร์ก,ท่องเที่ยว,"62,921","147,519","145,121","144,933","149,060","154,793","148,156","157,928","146,418","61,018",
เดนมาร์ก,ธุรกิจ, - , - , - , - , - ,"3,357","3,513","3,765","3,566",584,
