ประเทศ,การจัดเตรียมการเดินทาง,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563
บังกลาเทศ,เดินทางเป็นกลุ่ม,"16,168","21,459","21,550","22,979","26,406","21,790","27,288","24,887","29,117","4,787"
บังกลาเทศ,เดินทางด้วยตัวเอง,"51,856","53,895","63,352","67,461","82,627","81,826","98,292","100,922","110,505","18,126"
อินเดีย,รวม,"891,748","985,883","1,028,414","906,428","1,039,395","1,076,970","1,281,681","1,562,878","1,961,069","265,223"
อินเดีย,เดินทางเป็นกลุ่ม,"344,000","367,729","339,820","296,667","294,851","331,818","400,370","458,958","561,710","78,728"
อินเดีย,เดินทางด้วยตัวเอง,"547,748","618,154","688,594","609,761","744,544","745,152","881,311","1,103,920","1,399,359","186,495"
เนปาล,รวม,"26,237","26,326","25,802","26,160","33,325","43,170","43,782","55,482","60,428","10,396"
เนปาล,เดินทางเป็นกลุ่ม,"6,716","8,391","6,616","8,324","9,981","14,855","16,648","19,716","21,072","4,174"
เนปาล,เดินทางด้วยตัวเอง,"19,521","17,935","19,186","17,836","23,344","28,315","27,134","35,766","39,356","6,222"
ปากีสถาน,รวม,"71,704","69,419","76,935","73,886","76,366","71,720","76,784","78,256","71,917","11,519"
ปากีสถาน,เดินทางเป็นกลุ่ม,"16,275","17,192","16,923","19,142","14,241","16,750","14,825","14,727","15,750","3,110"
ปากีสถาน,เดินทางด้วยตัวเอง,"55,429","52,227","60,012","54,744","62,125","54,970","61,959","63,529","56,167","8,409"
ศรีลังกา,รวม,"53,782","73,249","76,484","76,755","75,595","67,876","63,386","62,697","70,247","8,375"
ศรีลังกา,เดินทางเป็นกลุ่ม,"14,972","23,015","20,487","21,774","21,919","21,643","19,703","18,916","19,654","2,476"
ศรีลังกา,เดินทางด้วยตัวเอง,"38,810","50,234","55,997","54,981","53,676","46,233","43,683","43,781","50,593","5,899"
โอเชียเนีย,รวม,"931,785","1,035,992","1,019,374","943,930","923,886","918,538","947,777","911,038","874,154","138,974"
โอเชียเนีย,เดินทางเป็นกลุ่ม,"75,349","94,052","124,953","163,574","123,059","152,245","99,152","68,151","76,242","10,825"
โอเชียเนีย,เดินทางด้วยตัวเอง,"856,436","941,940","894,421","780,356","800,827","766,293","848,625","842,887","797,912","128,149"
ออสเตรเลีย,รวม,"835,719","929,962","906,004","837,497","816,053","813,017","837,485","802,234","771,798","123,743"
ออสเตรเลีย,เดินทางเป็นกลุ่ม,"69,184","84,724","114,175","142,656","106,784","134,807","86,304","58,618","64,752","9,583"
ออสเตรเลีย,เดินทางด้วยตัวเอง,"766,535","845,238","791,829","694,841","709,269","678,210","751,181","743,616","707,046","114,160"
นิวซีแลนด์,รวม,"89,433","99,431","106,736","100,514","102,271","99,402","102,328","100,887","93,740","13,773"
นิวซีแลนด์,เดินทางเป็นกลุ่ม,"5,779","8,973","10,230","20,505","15,766","17,023","12,251","8,978","10,547","1,138"
นิวซีแลนด์,เดินทางด้วยตัวเอง,"83,654","90,458","96,506","80,009","86,505","82,379","90,077","91,909","83,193","12,635"
ตะวันออกกลาง,รวม,"651,912","663,933","681,173","644,265","720,791","821,458","875,043","767,796","727,318","85,230"
ตะวันออกกลาง,เดินทางเป็นกลุ่ม,"124,355","120,411","112,826","145,786","138,589","162,043","153,690","123,198","132,203","12,773"
ตะวันออกกลาง,เดินทางด้วยตัวเอง,"527,557","543,522","568,347","498,479","582,202","659,415","721,353","644,598","595,115","72,457"
อียิปต์,รวม,"15,094","17,918","26,650","26,476","22,851","24,913","19,730","18,161","19,010","3,084"
อียิปต์,เดินทางเป็นกลุ่ม,"1,771","3,386","4,065","8,881","5,586","6,248","5,020","2,555","3,776",612
อียิปต์,เดินทางด้วยตัวเอง,"13,323","14,532","22,585","17,595","17,265","18,665","14,710","15,606","15,234","2,472"
อิสราเอล,รวม,"125,149","125,666","133,438","137,552","138,499","161,254","174,815","185,366","194,081","29,568"
อิสราเอล,เดินทางเป็นกลุ่ม,"10,637","13,237","14,377","15,012","16,714","15,059","13,452","14,982","21,631","3,649"
อิสราเอล,เดินทางด้วยตัวเอง,"114,512","112,429","119,061","122,540","121,785","146,195","161,363","170,384","172,450","25,919"
คูเวต,รวม,"60,425","69,223","75,388","61,303","72,830","68,168","80,895","77,365","84,504","11,149"
คูเวต,เดินทางเป็นกลุ่ม,"6,171","8,467","9,581","10,341","10,049","10,643","9,632","9,314","12,424","1,456"
คูเวต,เดินทางด้วยตัวเอง,"54,254","60,756","65,807","50,962","62,781","57,525","71,263","68,051","72,080","9,693"
ซาอุดีอาระเบีย,รวม,"17,535","23,007","26,121","17,970","25,153","33,038","42,610","35,090","36,783","6,372"
ซาอุดีอาระเบีย,เดินทางเป็นกลุ่ม,"1,758","3,478","4,024","4,658","5,196","5,602","5,355","4,755","7,081",804
ซาอุดีอาระเบีย,เดินทางด้วยตัวเอง,"15,777","19,529","22,097","13,312","19,957","27,436","37,255","30,335","29,702","5,568"
สหรัฐอาหรับเอมิเรตส์,รวม,"149,873","163,604","164,710","153,594","171,516","187,665","199,475","151,137","145,530","9,550"
สหรัฐอาหรับเอมิเรตส์,เดินทางเป็นกลุ่ม,"17,568","20,798","24,398","37,242","33,346","30,059","29,989","21,763","24,857","1,111"
สหรัฐอาหรับเอมิเรตส์,เดินทางด้วยตัวเอง,"132,305","142,806","140,312","116,352","138,170","157,606","169,486","129,374","120,673","8,439"
แอฟริกา,รวม,"141,255","157,309","162,647","162,772","164,674","172,734","192,294","200,328","196,819","25,063"
แอฟริกา,เดินทางเป็นกลุ่ม,"14,818","21,088","24,879","33,833","26,808","37,299","34,738","31,436","40,273","4,141"
แอฟริกา,เดินทางด้วยตัวเอง,"126,437","136,221","137,768","128,939","137,866","135,435","157,556","168,892","156,546","20,922"
สาธารณรัฐแอฟริกาใต้,รวม,"66,705","73,530","73,657","70,574","74,397","76,541","91,182","97,071","89,750","9,692"
สาธารณรัฐแอฟริกาใต้,เดินทางเป็นกลุ่ม,"6,580","9,759","10,218","15,614","13,178","23,577","17,122","13,475","15,515","1,204"
สาธารณรัฐแอฟริกาใต้,เดินทางด้วยตัวเอง,"60,125","63,771","63,439","54,960","61,219","52,964","74,060","83,596","74,235","8,488"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
